number_of_bids_or_proposals_received_prior_to_award_of_contract,explain_why_the_fair_market_value_is_less_than_the_contract_amount,postal_code,amount_expended_for_fiscal_year,city,address_line1,begin_date,procurement_description,address_line2,transaction_number,state,vendor_number,type_of_procurement,renewal_date,number_of_bids_and_proposal_received_from_mwbe_firms,page_number,amount_expended_for_life_to_date,status,award_date,end_date,province_region,fair_market_value,exemption_from_the_publication_requirements_of_article_4c_of_the_economic-development_law?,current_or_outstanding_balance,award_process,plus_4,"if_yes,_basis_for_exemption",country,is_the_vendor_a_minority_or_woman-owned_business_enterprise?,amount,does_the_contract_have_an_end_date,is_the_vendor_a_nys_or_foreign_business_enterprise?,vendor_name,were_mwbe_firms_solicited_as_part_of_this_procurement_proces
,,08638,17290,TRENTON,513 NORTH OLDEN AVENUE,,Intermec CN3 With Verizon Wireless Unit CN3ANH840C6E300,,1000027470,NJ,5606,Commodities/Supplies,,,5606,,COMPLETED,,,,,,,Non Contract Procurement/Purchase Order,,,USA,Yes,,,NYS,LUCILLE MAUD CORP,
17,,08638,64918,TRENTON,513 NORTH OLDEN AVENUE,02/16/2010,PCPeripheral Purchase,,C14444000546,NJ,5607,Technology - Hardware,,0,5607,473292.87,OPEN,01/02/2009,12/31/2013,,,,176992.6,Authority Contract - Competitive Bid,,,USA,Yes,650285.47,Yes,NYS,LUCILLE MAUD CORP,Yes
11,,08638,0,TRENTON,513 NORTH OLDEN AVENUE,10/11/2013,1.00E+23 PCPERIPHERALS,,,NJ,5608,Commodities/Supplies,,7,5608,0,OPEN,08/01/2013,07/31/2016,,,,85000,Authority Contract - Competitive Bid,,,USA,Yes,85000,Yes,Foreign,LUCILLE MAUD CORP,Yes
1,,08638,0,TRENTON,513 NORTH OLDEN AVENUE,11/18/2013,4.00E+23 IT PERIPHERALS,,,NJ,5609,Commodities/Supplies,07/31/2016,0,5609,0,OPEN,11/18/2013,07/31/2016,,,Yes,350000,Authority Contract - Competitive Bid,,Ride/Piggyback of MTA Ags,USA,No,350000,Yes,Foreign,LUCILLE MAUD CORP.,No
3,,08638,625.72,TRENTON,513 N OLDEN AVENUE,12/08/2009,IT PERIPHERAL ORDER PER MTA CONTRACT 09083-0100.,,C4BP03566,NJ,5610,Technology - Hardware,12/08/2009,0,5610,34500.19,OPEN,11/04/2010,11/30/2012,,,Yes,108499.81,Authority Contract - Competitive Bid,,Stock/QPL All vnd/Mnf/Aut,USA,No,143000,Yes,Foreign,LUCILLE MAUD CORP.,No
20,,08638,0,TRENTON,513 N. OLDEN AVENUE,08/01/2013,PC AND PERIPHERALS,,12084-1000,NJ,5611,Commodities/Supplies,,4,5611,0,OPEN,12/01/2009,07/31/2016,,,No,0,Authority Contract - Competitive Bid,,,USA,No,0,Yes,NYS,LUCILLE MAUD CORP.,Yes
20,,08638,0,TRENTON,513 N. OLDEN AVENUE,08/01/2013,PC AND PERIPHERALS,,12084-2100,NJ,5612,Commodities/Supplies,,4,5612,0,OPEN,12/01/2009,07/31/2016,,,No,0,Authority Contract - Competitive Bid,,,USA,No,0,Yes,NYS,LUCILLE MAUD CORP.,Yes
,,10013,0,NEW YORK,50 HUDSON STREET,12/17/2013,6.00E+23 Design Consultant for R142 TM,,,NY,5613,Consulting Services,,0,5613,0,OPEN,12/17/2013,08/08/2014,,192972,Yes,192972,Authority Contract - Non-Competitive Bid,,Discretionary Procurement,USA,No,192972,Yes,NYS,LUCIUS PITKIN INC.,Yes
200,,11206,0,BROOKLYN,24 ARION PLACE,04/01/2010,ARTWORK FOR EAST 180TH STREET,2,09333-0100,NY,5614,Design and Construction/Maintenance,,,5614,178000,OPEN,03/18/2010,03/10/2013,,,No,0,Authority Contract - Competitive Bid,,,USA,No,178000,Yes,NYS,LUISA CALDWELL,No
,,60693,15946,CHICAGO,PO BOX 96391,,BALLAST 72VDC FOR FLUORESCENT LAMPS,,1000023963,IL,5615,Commodities/Supplies,,,5615,,COMPLETED,,,,,,,Non Contract Procurement/Purchase Order,,,USA,No,,,NYS,LUMINATOR HOLDING LP,
2,,60693,153235.22,CHICAGO,PO BOX 96391,11/01/2010,Luminator OEM lighting system parts for C-3 and M-7 fleets.,,C4BP03731,IL,5616,Commodities/Supplies,11/01/2010,0,5616,414609.07,OPEN,12/03/2010,10/31/2015,,700358,Yes,285748.93,Authority Contract - Non-Competitive Bid,,Sole Source,USA,No,700358,Yes,Foreign,LUMINATOR HOLDING LP,No
2,,60693,115653.45,CHICAGO,PO BOX 96391,03/24/2011,6.00E+23 INVENTORY AND NON-INVENTORY MTA WIDE BUS LUMINATOR DESTINATION SIGN COMPONENTSPARTS AND HARDWARE,,,IL,5617,Commodities/Supplies,,0,5617,437465.7,OPEN,03/24/2011,03/24/2014,,,No,162534.3,Authority Contract - Competitive Bid,,,USA,No,600000,Yes,Foreign,LUMINATOR HOLDING LP,Yes
2,,60693,334423.5,CHICAGO,PO BOX 96391,01/02/2013,6.00E+23 BALLAST ASSEMBLY FOR MAIN LIGHT ASSEMBLIES INCLUDES PLATE AND GASKET,,,IL,5618,Commodities/Supplies,,0,5618,334423.5,OPEN,01/02/2013,04/01/2015,,,No,139096.5,Authority Contract - Competitive Bid,,,USA,No,473520,Yes,Foreign,LUMINATOR HOLDING LP,Yes
1,,60693,37242,CHICAGO,PO BOX 96391,01/23/2013,1.00E+23 OEM LIGHT PARTS FOR M7 FLEET,,,IL,5619,Commodities/Supplies,,0,5619,37242,OPEN,11/01/2010,10/31/2015,,350000,,312758,Authority Contract - Non-Competitive Bid,,,USA,No,350000,Yes,NYS,LUMINATOR HOLDING LP,No
1,,60693,23253,CHICAGO,PO BOX 96391,11/30/2012,6.00E+23 LENS F/LIGHTING EQUIPMENT U/W FLUORESCENT FIXTURES R62 CARS,,,IL,5620,Commodities/Supplies,,0,5620,23253,OPEN,11/30/2012,03/02/2015,,,No,67737,Authority Contract - Competitive Bid,,,USA,No,90990,Yes,Foreign,LUMINATOR HOLDING LP,Yes
1,,60693,0,CHICAGO,PO BOX 96391,08/27/2013,6.00E+23 LENS CAR CARD No5 F/LIGHTING EQUIP. U/W FLUORESCENT FIXTURE R62 CARS,,,IL,5621,Commodities/Supplies,,0,5621,0,OPEN,08/27/2013,11/30/2015,,,No,64000,Authority Contract - Competitive Bid,,,USA,No,64000,Yes,Foreign,LUMINATOR HOLDING LP,Yes
3,,60693,0,CHICAGO,PO BOX 96391,10/18/2010,MODULE DISPLAY LCD 6.1 SINGLE,,C600951360,IL,5622,Commodities/Supplies,,1,5622,6939.92,OPEN,10/18/2010,01/18/2013,,,No,27759.68,Authority Contract - Competitive Bid,,,USA,No,34699.6,Yes,Foreign,LUMINATOR HOLDING LP,Yes
3,,60693,18950,CHICAGO,PO BOX 96391,04/02/2013,6.00E+23 MARKER LIGHT LED -RED FOR USE AS TAIL LIGHT ONLY,,,IL,5623,Commodities/Supplies,,1,5623,18950,OPEN,04/02/2013,10/18/2013,,,No,7580,Authority Contract - Competitive Bid,,,USA,No,26530,Yes,Foreign,LUMINATOR HOLDING LP,Yes
1,,60693,18340,CHICAGO,PO BOX 96391,11/29/2012,LED MODULE RED TRANSVERSE CLUSTER LAMP,,1000021388,IL,5624,Commodities/Supplies,,0,5624,18340,COMPLETED,11/29/2012,03/29/2013,,,,1,Authority Contract - Competitive Bid,,,USA,No,18340,Yes,NYS,LUMINATOR HOLDING LP,No
1,,60693,1520,CHICAGO,PO BOX 96391,05/10/2013,SOCKET LOCK FLUORESCENT LIGHT T12 BI- PIN MNR NO. 25751149 LUMINATOR PART NO. 200041039,,1000026126,IL,5625,Commodities/Supplies,,0,5625,1520,COMPLETED,05/10/2013,07/26/2013,,,,1,Authority Contract - Competitive Bid,,,USA,No,1520,Yes,Foreign,LUMINATOR HOLDING LP,No
,,60693,49966,CHICAGO,PO BOX 96391,,Multi-PO Under 15K to Same Vendor Goods Provided by Select Vendor,,,IL,5626,Commodities/Supplies,,,5626,,OPEN,,,,,,,Non Contract Procurement/Purchase Order,,,USA,No,,,,LUMINATOR HOLDING LP,
,,11361,227732.94,BAYSIDE,POST OFFICE BOX 610522,03/06/2009,SERVICERECHARGE FIRECYLINDERS,,C607K9806,NY,5627,Other Professional Services,,0,5627,1156626.99,OPEN,03/06/2009,03/06/2014,,,No,320677.01,Authority Contract - Competitive Bid,,,USA,No,1477304,Yes,NYS,LUND FIRE PRODUCTS CO. INC.,No
1,,11361,53372.14,BAYSIDE,POST OFFICE BOX 610522,10/04/2010,rechg/test fire cyls,,C2R100749,NY,5628,Commodities/Supplies,,0,5628,175656.96,OPEN,10/04/2010,03/06/2014,,,No,36075.04,Authority Contract - Competitive Bid,,,USA,No,211732,Yes,NYS,LUND FIRE PRODUCTS CO. INC.,No
1,,11361,0,BAYSIDE,POST OFFICE BOX 610522,05/15/2012,4.00E+23 Service-Kidde FM-200 Fire Cont,,,NY,5629,Commodities/Supplies,,0,5629,0,OPEN,05/15/2012,05/14/2015,,,No,175000,Authority Contract - Competitive Bid,,,USA,No,175000,Yes,NYS,LUND FIRE PRODUCTS CO. INC.,No
2,,11361,24822.75,BAYSIDE,POST OFFICE BOX 610522,12/05/2006,Inspection and maintenance of fire suppressant sytems at various facilities,,C306-MNT-2771,NY,5630,Other,09/01/2009,0,5630,69834.98,OPEN,12/05/2006,12/31/2013,,,No,7039.29,Authority Contract - Competitive Bid,,,USA,No,76874.27,Yes,NYS,LUND FIRE PRODUCTS CO. INC.,No
,,11361,6345,BAYSIDE,POST OFFICE BOX 610522,07/05/2013,6.00E+23 EXTINGUISHER FIRE 10 LB. DRY CHEMICAL MULTI-PURPOSE FOR MOTORMANS CAB STAMPEDPROP. NYCTA .MARKED ITEMS ARE NOT TO BE SOLD OR GIVEN TO ANY PARTY OT,,,NY,5631,Commodities/Supplies,,2,5631,6345,OPEN,07/05/2013,07/03/2015,,28552.5,Yes,22207.5,Authority Contract - Non-Competitive Bid,,Discretionary Procurement,USA,No,28552.5,Yes,NYS,LUND FIRE PRODUCTS CO. INC.,Yes
2,,11361,0,BAYSIDE,POST OFFICE BOX 610522,11/08/2013,6.00E+23 Test and Repair Foam Deluge Systems for Various DOB locations - 1 year,,,NY,5632,Other,,0,5632,0,OPEN,11/06/2013,11/07/2014,,,Yes,24950,Authority Contract - Competitive Bid,,Cntrct Below dollar Threshold,USA,No,24950,Yes,NYS,LUND FIRE PRODUCTS CO. INC.,No
,,11361,0,BAYSIDE,POST OFFICE BOX 610522,06/06/2013,6.00E+23 EXTINGUISHER FIRE 6 LB. ABC DRY CHEMICAL OVERALL DIMENSIONS 15-3/4HIGH X 5WIDE MUST HAVE A FLAT BOTTOM. MUST BE INDELIBLY MARKEDNYCTAIN BLACK 3 TIME,,,NY,5633,Commodities/Supplies,,2,5633,0,OPEN,06/06/2013,12/05/2014,,15552,Yes,15552,Authority Contract - Non-Competitive Bid,,Discretionary Procurement,USA,No,15552,Yes,NYS,LUND FIRE PRODUCTS CO. INC.,Yes
,,11361,19012,BAYSIDE,POST OFFICE BOX 610522,,Multi-PO Under 15K to Same Vendor Goods Provided by Select Vendor,,,NY,5634,Commodities/Supplies,,,5634,,OPEN,,,,,,,Non Contract Procurement/Purchase Order,,,USA,No,,,,LUND FIRE PRODUCTS CO. INC.,
,,10606,0,WHITE PLAINS,11 MARTINE AVE. 12TH FLOOR,01/02/2008,OUTSIDE COUNSEL,,,NY,5635,Legal Services,,0,5635,167233,OPEN,01/02/2008,,,,,0,Authority Contract - Non-Competitive Bid,,,USA,No,0,No,,LUNNEY AND MURTAGLLC,No
31,,10960,0,NYACK,143 MAIN STREET,01/01/2009,Investigative services,,C908210-1800,NY,5636,Other Professional Services,,4,5636,0,OPEN,11/20/2008,12/31/2013,,,No,0,Authority Contract - Competitive Bid,,,USA,No,0,Yes,NYS,LYDECKER INVESTIGATIONS INC.,Yes
,,07004,554375.47,FAIRFIELD,30 Two Bridges Road,,Financial Advisory/Financial Services,Suite 205,,NJ,5637,Financial Services,,,5637,,COMPLETED,,,,,,,Non Contract Procurement/Purchase Order,,,USA,No,,,,Lamont Financial Services Corp.,
,,07102,174192.64,NEWARK,One Gateway Center,01/07/2004,Legal Services - Toxic Tort,Suite 400,,NJ,5638,Legal Services,,0,5638,2140100.7,OPEN,01/07/2004,,,,,0,Authority Contract - Competitive Bid,5311,,USA,No,174192.64,No,,Landman Corsi,Yes
,,07102,104343.63,NEWARK,One Gateway Center,01/07/2004,Litigation,Suite 500,,NJ,5639,Legal Services,,0,5639,871026.03,OPEN,01/07/2004,,,,No,0,Authority Contract - Competitive Bid,5311,,USA,No,104343.63,No,Foreign,Landman Corsi Ballaine Ford P.C.,Yes
31,,10271,467163.74,NEW YORK,120 Broadway,01/01/1989,FELA Personal Injury,,,NY,5640,Legal Services,,0,5640,5910784.08,OPEN,01/01/1989,,,,,0,Authority Contract - Competitive Bid,,,USA,No,467163.74,No,NYS,Landman Corsi BallaineFord PC,No
,,11722,111080,CENTRAL ISLIP,267 Caleton Avenue Suite 301,01/01/2009,Legal Services - Farmingdale Rail Yard Matters,,,NY,5641,Legal Services,,0,5641,496524,OPEN,01/07/2004,,,,,0,Authority Contract - Competitive Bid,,,USA,No,111080,No,,Law Office of Jay Safar,Yes
,,11749,75085.05,ISLANDIA,One CA Plaza Suite 225,10/20/2011,Legal Services - FELA,,,NY,5642,Legal Services,,0,5642,88070.55,OPEN,01/07/2004,,,,,0,Authority Contract - Competitive Bid,,,USA,No,75085.05,No,,Lewis Johs,Yes
,,10105,29606,NEW YORK,1345 Avenue of the Americas,,Financial Services,,,NY,5643,Financial Services,,,5643,,COMPLETED,,,,,,,Non Contract Procurement/Purchase Order,,,USA,No,,,,Linklaters LLP,
,,10022,3218.34,NEW YORK,900 Third Avenue,01/07/2004,Litigation,8th Floor,,NY,5644,Legal Services,,0,5644,5219092.81,OPEN,01/07/2004,,,,No,0,Authority Contract - Competitive Bid,,,USA,No,3218.34,No,NYS,Littler Mendelson,Yes
31,,10022,54836.99,NEW YORK,900 Third Avenue,03/04/2004,Labor and Employment,,,NY,5645,Legal Services,,0,5645,718236.23,OPEN,03/04/2004,,,,,0,Authority Contract - Competitive Bid,,,USA,No,54836.99,No,NYS,Littler Mendelson PC,No
3,,H3C 3,456035.47,MONTREAL,740 NOTRE-DAME WEST,02/19/2013,RAIL 115RE PER AREMA FIGURE 4-1- 1.115RE 39FT. LONG MEDIUM HARD DRILLING AS SPECIFIED FIRST HOLE,SUITE 1240,1000022931,,5646,Commodities/Supplies,,0,5646,456035.47,COMPLETED,02/19/2013,03/26/2013,QC,,,0,Authority Contract - Competitive Bid,0006,,Other,No,456035.47,Yes,Foreign,M F WIRTH RAIL CORP,No
2,,H3C 3,251944,MONTREAL,740 NOTRE-DAME WEST,03/28/2013,RAIL CONTACT 150 LBS STEEL 3RD RAIL PER NYCT SPECIFICATION DATED 09/22/04 WITHSILICON CONTENT OF 0,SUITE 1240,1000024829,,5647,Commodities/Supplies,,0,5647,251944,COMPLETED,03/28/2013,07/31/2013,QC,,,0,Authority Contract - Competitive Bid,0006,,Other,No,251944,Yes,Foreign,M F WIRTH RAIL CORP,No
1,,06067,1859.25,ROCKY HILL,PO BOX 773,07/05/2012,KIT FIRST AID SEE SPEC 100 FOR CONTENTS DATED,,1000016089,CT,5648,Commodities/Supplies,,0,5648,3718.5,COMPLETED,05/30/2012,01/05/2013,,,,10742.79,Authority Contract - Competitive Bid,0773,,USA,No,14461.29,Yes,NYS,M R S   INDUSTRIES INC.,No
,,11747,15805.94,MELVILLE,75 MAXESS ROAD,,MSC 93021566 NAT POLYURETHANE SHEET 1/2X12X48,,1000030609,NY,5649,Commodities/Supplies,,,5649,,OPEN,,,,,,,Non Contract Procurement/Purchase Order,,,USA,No,,,NYS,M S C INDUSTRIAL SUPPLY CO. INC.,
1,,10040,95702.5,NEW YORK,900 WEST 190TH STREET,08/11/2011,Information Technology Training Services,APT 5G,1000007377,NY,5650,Technology - Consulting/Development or Sup,,1,5650,124137.5,OPEN,08/11/2011,07/17/2012,,,,24262.5,Authority Contract - Competitive Bid,,,USA,Yes,148400,Yes,NYS,M-DP SYSTEMS INC,Yes
1,,10040,1485,NEW YORK,900 WEST 190TH STREET,12/01/2011,Office Migration Consulting SupportTraining Services,APT 5G,1000010932,NY,5651,Technology - Consulting/Development or Sup,,1,5651,52946.25,OPEN,12/01/2011,09/27/2012,,,,2053.75,Authority Contract - Competitive Bid,,,USA,Yes,55000,Yes,NYS,M-DP SYSTEMS INC,Yes
7,,07603,0,BOGOTA,195-A WEST SHORE AVENUE,03/17/2014,6.00E+23 NIPPLE AIR LINE 1/4MPT. COUPLER FOR ENG No815 COUPLER,,,NJ,5652,Commodities/Supplies,,1,5652,0,OPEN,12/09/2013,06/17/2016,,,No,22000,Authority Contract - Competitive Bid,,,USA,No,22000,Yes,Foreign,M. BROWN FITTING SPECIALISTS INC.,Yes
,,07603,20269,BOGOTA,195-A WEST SHORE AVENUE,,Multi-PO Under 15K to Same Vendor Goods Provided by Select Vendor,,,NJ,5653,Commodities/Supplies,,,5653,,OPEN,,,,,,,Non Contract Procurement/Purchase Order,,,USA,No,,,,M. BROWN FITTING SPECIALISTS INC.,
6,,H3C 3X6,0,MONTREAL,740 NOTRE-DAME WEST,07/24/2013,6.00E+23 RAIL TRACK 115 RE HEAD HARDENED UNDRILLED SUPPLIED IN 78 LENGTH. A VARIATION OF PLUS OR MINUS 7/8WILL BE PERMITTED ON THE LENGTH AS SHOWN ON NYC,,,,5654,Commodities/Supplies,,0,5654,0,OPEN,07/24/2013,07/23/2014,QUEBEC,,Yes,1809500,Authority Contract - Competitive Bid,,Stock/QPL All vnd/Mnf/Aut,Other,No,1809500,Yes,Foreign,M.F. WIRTH RAIL CORP,Yes
1,,H3C 3X6,0,MONTREAL,740 NOTRE-DAME WEST,12/31/2013,6.00E+23 RAIL CONTACT TRACK 150 LB. OPEN HEARTH STEEL,,,,5655,Commodities/Supplies,,0,5655,0,OPEN,12/31/2013,12/30/2014,QUEBEC,,Yes,1056055,Authority Contract - Competitive Bid,,Stock/QPL All vnd/Mnf/Aut,Other,No,1056055,Yes,Foreign,M.F. WIRTH RAIL CORP,Yes
1,,H3C 3X6,0,MONTREAL,740 NOTRE-DAME WEST,12/31/2013,6.00E+23 RAIL TRACK CONTACT SHORTS 150 LB. OPEN HEATH STEEL SHORTS,,,,5656,Commodities/Supplies,,0,5656,0,OPEN,12/31/2013,12/30/2014,QUEBEC,,Yes,42225.05,Authority Contract - Competitive Bid,,Stock/QPL All vnd/Mnf/Aut,Other,No,42225.05,Yes,Foreign,M.F. WIRTH RAIL CORP,Yes
1,,H3C 3X6,5299.8,MONTREAL,740 NOTRE-DAME WEST,03/30/2012,6.00E+23 RAIL TRACK CONTACT SHORTS 150 LB. OPEN HEATH STEEL SHORTS TO RANGE FROM 250TO 380LENGTHS IN ONE FOOT INCREMENTS TO BE MANUFACTURED IN ACCORDANCE WITH NYCT,,,,5657,Commodities/Supplies,,0,5657,31798.8,OPEN,03/30/2012,03/29/2013,QUEBEC,,No,0,Authority Contract - Competitive Bid,,,Other,No,31798.8,Yes,Foreign,M.F. WIRTH RAIL CORP,Yes
10,,10994,16057.84,WEST NYACK,CONSULTING ENGINEERS,08/30/2010,Construction And Civil Enginee,100 SNAKE HILL ROAD,CPON7215,NY,5658,Consulting Services,,0,5658,378351.79,OPEN,08/30/2010,12/14/2010,,,No,39826.98,Authority Contract - Competitive Bid,,,USA,No,418178.77,Yes,NYS,M.G. MCLAREN P.C. CONSULTING ENGINEERS,No
3,,10994,5527.35,WEST NYACK,CONSULTING ENGINEERS,09/22/2009,Engineering Services,100 SNAKE HILL ROAD,CPOL9351,NY,5659,Consulting Services,,0,5659,5527.35,OPEN,08/18/2009,02/28/2010,,,No,281591.86,Authority Contract - Competitive Bid,,,USA,No,287119.21,Yes,NYS,M.G. MCLAREN P.C. CONSULTING ENGINEERS,Yes
6,,11788,80340.32,HAUPPAUGE,517 ROUTE 111,08/12/2013,6.00E+23 DISPLAY PROGRAMMABLE WITH A 5 X 7 DOT MATRIX FOUR CHARACTER ALPHANUMERIC LED DISPLAY WITH THREE BRIGHTNESS LEVELS IN BLINKING OR NON-BLINKING MODE. BUILT,,,NY,5660,Commodities/Supplies,,0,5660,80340.32,OPEN,08/12/2013,10/11/2013,,,Yes,68609.68,Authority Contract - Competitive Bid,,Stock/QPL All vnd/Mnf/Aut,USA,No,148950,Yes,NYS,M.S. HI-TECH. INC,Yes
6,,11788,30088.8,HAUPPAUGE,517 ROUTE 111,10/28/2011,6.00E+23 ADHESIVE RUBBER AND GASKET CONTACT CEMENT USED ON GE MAIN CONTTROL GROUP LINE BREAKERS AND KNIF,,,NY,5661,Commodities/Supplies,,1,5661,70207.2,OPEN,10/28/2011,04/29/2013,,,No,0,Authority Contract - Competitive Bid,,,USA,No,70207.2,Yes,NYS,M.S. HI-TECH. INC,Yes
4,,11788,2667,HAUPPAUGE,517 ROUTE 111,10/12/2010,DISPLAY PROGRAMMABLE WITH A 5 X 7 DOT,,C600950672,NY,5662,Commodities/Supplies,,1,5662,42105,OPEN,10/12/2010,01/11/2013,,,No,0,Authority Contract - Competitive Bid,,,USA,No,42105,Yes,NYS,M.S. HI-TECH. INC,Yes
11,,11788,0,HAUPPAUGE,517 ROUTE 111,11/12/2013,6.00E+23 DISC ABRASIVE SANDING P220B GRIT CHAMPAGNE MAGNUM.,,,NY,5663,Commodities/Supplies,,2,5663,0,OPEN,11/12/2013,02/12/2016,,,No,32880,Authority Contract - Competitive Bid,,,USA,No,32880,Yes,NYS,M.S. HI-TECH. INC,No
,,07032,52535.98,KEARNY,60 PENNSYLVANIA AVENUE,,BUSHING CABLE FOR THE 150 LB 3RD RAIL POTHEAD AS,PO BOX 469,1000027509,NJ,5664,Commodities/Supplies,,,5664,,COMPLETED,,,,,,,Non Contract Procurement/Purchase Order,,,USA,No,,,Foreign,MAC PRODUCTS INC,
5,,07032,0,KEARNY,60 PENNSYLVANIA AVENUE,07/11/2013,DC SNOWMELTER CABINETS AS PER METRO NORTH SPECIFICATION NUMBER 16600-M SNOWMELTER CABINET750VDC,PO BOX 469,1000027758,NJ,5665,Commodities/Supplies,,0,5665,0,COMPLETED,07/11/2013,07/15/2014,,,,1382400,Authority Contract - Competitive Bid,,,USA,No,1382400,Yes,Foreign,MAC PRODUCTS INC,No
5,,07032,0,KEARNY,60 PENNSYLVANIA AVENUE,08/02/2013,DC SNOWMELTER CABINETS AS PER METRO NORTH SPECIFICATION NUMBER 16600-M SNOWMELTER CABINET750VDC,PO BOX 469,1000028491,NJ,5666,Commodities/Supplies,,0,5666,0,OPEN,08/02/2013,07/15/2014,,,,691200,Authority Contract - Competitive Bid,,,USA,No,691200,Yes,Foreign,MAC PRODUCTS INC,No
5,,07032,0,KEARNY,60 PENNSYLVANIA AVENUE,07/11/2013,DC SNOWMELTER CABINETS AS PER METRO NORTH SPECIFICATION NUMBER 16600-M SNOWMELTER CABINET750VDC,PO BOX 469,1000027696,NJ,5667,Commodities/Supplies,,0,5667,0,OPEN,07/10/2013,12/09/2013,,,,604800,Authority Contract - Competitive Bid,,,USA,No,604800,Yes,Foreign,MAC PRODUCTS INC,No
1,,07032,144200,KEARNY,60 PENNSYLVANIA AVENUE,12/05/2012,DC MOTOR OPERATED LOAD BREAKSECTIONALIZING SWITCHES WITHOUT THE CONCRETE PADS FOR THE CONSTRUCTION,PO BOX 469,1000021615,NJ,5668,Commodities/Supplies,,0,5668,144200,OPEN,12/05/2012,08/23/2013,,,,0,Authority Contract - Competitive Bid,,,USA,No,144200,Yes,Foreign,MAC PRODUCTS INC,No
1,,07032,55350,KEARNY,60 PENNSYLVANIA AVENUE,01/09/2013,SHUNT SHOE THIRD RAIL SHOE MECHANISM PER MNCR DWG,PO BOX 469,1000022420,NJ,5669,Commodities/Supplies,,0,5669,55350,OPEN,01/09/2013,07/22/2014,,,,44280,Authority Contract - Competitive Bid,,,USA,No,99630,Yes,NYS,MAC PRODUCTS INC,No
2,,07032,0,KEARNY,60 PENNSYLVANIA AVENUE,12/16/2013,CONNECTOR CABLE 2000MCM TO THREE 500 MCM AS PER,PO BOX 469,1000032875,NJ,5670,Commodities/Supplies,,0,5670,0,OPEN,12/16/2013,07/15/2014,,,,26168.75,Authority Contract - Competitive Bid,,,USA,No,26168.75,Yes,Foreign,MAC PRODUCTS INC,No
2,,07032,0,KEARNY,60 PENNSYLVANIA AVENUE,12/13/2013,FERRULE JUMPER 3RD RAIL THIMBLE AS PER METRO,PO BOX 469,1000032823,NJ,5671,Commodities/Supplies,,0,5671,0,OPEN,12/13/2013,07/15/2014,,,,16109.15,Authority Contract - Competitive Bid,,,USA,No,16109.15,Yes,Foreign,MAC PRODUCTS INC,No
,,07032,0,KEARNY,60 PENNSYLVANIA AVENUE,,CLAMP 3RD RAIL ANCHOR COMPOSITE ASTM A338-842004 PER LIRR DWG.ETD-20180 REVISION K DATED 12/1,PO BOX 469,,NJ,5672,Commodities/Supplies,,,5672,,OPEN,,,,,,,Non Contract Procurement/Purchase Order,,,USA,No,,,NYS,MAC PRODUCTS INC.,
3,,07032,493695,KEARNY,60 PENNSYLVANIA AVENUE,01/03/2013,LOAD BREAK SECTIONALIZING SWITCH D.C. MOTOR OPERATED MINIMUM FULL CURRENT LOAD CURRENT RATING OF 600,PO BOX 469,1000015981,NJ,5673,Commodities/Supplies,,0,5673,493695,OPEN,01/08/2013,08/23/2013,,,,638940,Authority Contract - Competitive Bid,,,USA,No,1132635,Yes,Foreign,MAC PRODUCTS INC.,No
2,,07032,161109,KEARNY,60 PENNSYLVANIA AVENUE,10/28/2011,4.00E+23 lead Bonds.,PO BOX 469,,NJ,5674,Commodities/Supplies,,0,5674,368347.5,OPEN,10/28/2011,10/27/2013,,,No,106717.5,Authority Contract - Competitive Bid,,,USA,No,475065,Yes,Foreign,MAC PRODUCTS INC.,No
3,,07032,25725,KEARNY,60 PENNSYLVANIA AVENUE,09/07/2012,6.00E+23 TERMINAL QUICK DISCONNECT CRIMP TYPE FOR .585MAX. INSULATION DIA. 1/0 WIRE NOTE APPLICABLE WIRE/CABLE SIZE AND MANUFACTURER LOGO MUST BE EMBOSSED OR E,,,NJ,5675,Commodities/Supplies,,0,5675,60025,OPEN,09/07/2012,12/05/2014,,,Yes,248675,Authority Contract - Competitive Bid,,Stock/QPL All vnd/Mnf/Aut,USA,No,308700,Yes,Foreign,MAC PRODUCTS INC.,Yes
3,,07032,31780,KEARNY,60 PENNSYLVANIA AVENUE,12/30/2011,6.00E+23 TERMINAL QUICK DISCONNECT CRIMP TYPE FOR .715 MAX. INSULATION DIA. 3/0 WIRE NOTE A,,,NJ,5676,Commodities/Supplies,,0,5676,99880,OPEN,12/30/2011,12/27/2013,,,No,81720,Authority Contract - Competitive Bid,,,USA,No,181600,Yes,Foreign,MAC PRODUCTS INC.,Yes
6,,07032,0,KEARNY,60 PENNSYLVANIA AVENUE,05/28/2013,6.00E+23 TERMINAL QUICK DISCONNECT CRIMP TYPE FOR .640 MAX. INSULATION DIA. 2/0 WIRE NOTE APPLICABLE WIRE/CABLE SIZE AND MANUFACTURER LOGO MUST BE EMBOSSED OR E,,,NJ,5677,Commodities/Supplies,,0,5677,0,OPEN,05/28/2013,08/27/2014,,,No,92624,Authority Contract - Competitive Bid,,,USA,No,92624,Yes,Foreign,MAC PRODUCTS INC.,Yes
