number_of_bids_or_proposals_received_prior_to_award_of_contract,explain_why_the_fair_market_value_is_less_than_the_contract_amount,postal_code,amount_expended_for_fiscal_year,city,address_line1,begin_date,procurement_description,address_line2,transaction_number,state,vendor_number,type_of_procurement,renewal_date,number_of_bids_and_proposal_received_from_mwbe_firms,page_number,amount_expended_for_life_to_date,status,award_date,end_date,province_region,fair_market_value,exemption_from_the_publication_requirements_of_article_4c_of_the_economic-development_law?,current_or_outstanding_balance,award_process,plus_4,"if_yes,_basis_for_exemption",country,is_the_vendor_a_minority_or_woman-owned_business_enterprise?,amount,does_the_contract_have_an_end_date,is_the_vendor_a_nys_or_foreign_business_enterprise?,vendor_name,were_mwbe_firms_solicited_as_part_of_this_procurement_proces
8,,47302,53633.1,MUNCIE,3720 SOUTH MADISON STREET,10/03/2011,DESICCANT CARTRIDGE AIR DRYER,,0600000000000000000001307,IN,7353,Commodities/Supplies,,0,7353,53633.1,OPEN,10/03/2011,01/02/2014,,,No,111339.6,Authority Contract - Competitive Bid,,,USA,No,164972.7,Yes,Foreign,MUNCIE TRANSIT SUPPLY,Yes
3,,47302,0,MUNCIE,3720 SOUTH MADISON STREET,04/07/2011,FILTER MODULE EXHAUST MCI,,0600000000000000000000322,IN,7354,Commodities/Supplies,,0,7354,65595.9,OPEN,04/07/2011,07/06/2012,,,No,91834.26,Authority Contract - Competitive Bid,,,USA,No,157430.16,Yes,Foreign,MUNCIE TRANSIT SUPPLY,Yes
14,,47302,19620,MUNCIE,3720 SOUTH MADISON STREET,02/16/2010,C600917678 SLACK ADJUSTER AUTO RH,,,IN,7355,Commodities/Supplies,,0,7355,119191.5,OPEN,11/16/2009,02/16/2012,,,No,37768.5,Authority Contract - Competitive Bid,,,USA,No,156960,Yes,Foreign,MUNCIE TRANSIT SUPPLY,Yes
14,,47302,19620,MUNCIE,3720 SOUTH MADISON STREET,02/16/2010,C600917677 SLACK ADJUSTER AUTO LH,,,IN,7356,Commodities/Supplies,,0,7356,129393.9,OPEN,11/16/2009,02/16/2012,,,No,27566.1,Authority Contract - Competitive Bid,,,USA,No,156960,Yes,Foreign,MUNCIE TRANSIT SUPPLY,Yes
4,,47302,37744.08,MUNCIE,3720 SOUTH MADISON STREET,03/22/2010,C600921170 CARTRIDGE REPLACEMENT END UPPER,,,IN,7357,Commodities/Supplies,,0,7357,109633.92,OPEN,12/21/2009,03/21/2012,,,No,43486.08,Authority Contract - Competitive Bid,,,USA,No,153120,Yes,Foreign,MUNCIE TRANSIT SUPPLY,No
6,,47302,117388.92,MUNCIE,3720 SOUTH MADISON STREET,07/15/2011,PIN & BUSHING RADIUS ROD,,0600000000000000000000841,IN,7358,Commodities/Supplies,,0,7358,130515,OPEN,07/15/2011,10/01/2012,,,No,18645,Authority Contract - Competitive Bid,,,USA,No,149160,Yes,Foreign,MUNCIE TRANSIT SUPPLY,Yes
6,,47302,5638.75,MUNCIE,3720 SOUTH MADISON STREET,01/19/2010,C600916348 CHAMBER BRAKE REAR LEFT AND RIGHT,,,IN,7359,Commodities/Supplies,,1,7359,13012.5,OPEN,11/02/2009,02/02/2012,,,No,134462.5,Authority Contract - Competitive Bid,,,USA,No,147475,Yes,Foreign,MUNCIE TRANSIT SUPPLY,Yes
6,,47302,19263.75,MUNCIE,3720 SOUTH MADISON STREET,03/14/2012,J111018 76-19-8000 Front Air Bag Assembly,,,IN,7360,Commodities/Supplies,,0,7360,19263.75,OPEN,03/14/2012,06/13/2014,,,No,126673.75,Authority Contract - Competitive Bid,,,USA,No,145937.5,Yes,Foreign,MUNCIE TRANSIT SUPPLY,Yes
,,47302,2799,MUNCIE,3720 SOUTH MADISON STREET,06/18/2009,"C2PRB090171B 85-75-0018 SLACK ADJUSTER, LH/",,,IN,7361,Commodities/Supplies,,,7361,142982.25,OPEN,06/18/2009,09/17/2011,,,No,2410.25,Authority Contract - Competitive Bid,,,USA,No,145392.5,Yes,Foreign,MUNCIE TRANSIT SUPPLY,No
3,,47302,8842,MUNCIE,3720 SOUTH MADISON STREET,09/13/2011,CHAMBER ASSEMBLY BRAKE DD3 LEFT HAND REAR AXLE,,0600000000000000000001144,IN,7362,Commodities/Supplies,,0,7362,33157.5,OPEN,09/13/2011,12/07/2012,,,No,110525,Authority Contract - Competitive Bid,,,USA,No,143682.5,Yes,Foreign,MUNCIE TRANSIT SUPPLY,Yes
5,,47302,0,MUNCIE,3720 SOUTH MADISON STREET,07/05/2011,FILTER CATALYZED SOOT,,0600000000000000000000779,IN,7363,Commodities/Supplies,,0,7363,0,OPEN,07/05/2011,07/03/2012,,,No,141767.5,Authority Contract - Competitive Bid,,,USA,No,141767.5,Yes,Foreign,MUNCIE TRANSIT SUPPLY,Yes
3,,47302,16419,MUNCIE,3720 SOUTH MADISON STREET,09/28/2012,"J121306 97-88-8794 - valve, pulse,",,,IN,7364,Commodities/Supplies,,,7364,16419,OPEN,09/27/2012,12/27/2014,,,No,120406,Authority Contract - Competitive Bid,,,USA,No,136825,Yes,Foreign,MUNCIE TRANSIT SUPPLY,No
5,,47302,62437.19,MUNCIE,3720 SOUTH MADISON STREET,03/11/2011,C600958306 FAN ASSEMBLY DRIVERS 24V,,,IN,7365,Commodities/Supplies,,0,7365,102001.35,OPEN,12/10/2010,03/08/2013,,,No,31527.69,Authority Contract - Competitive Bid,,,USA,No,133529.04,Yes,Foreign,MUNCIE TRANSIT SUPPLY,Yes
6,,47302,0,MUNCIE,3720 SOUTH MADISON STREET,08/03/2010,C600935126 MOTOR EVAPORATOR FAN ROTRON CARRIER,,,IN,7366,Commodities/Supplies,,0,7366,74596.06,OPEN,05/05/2010,08/03/2012,,,No,56189.24,Authority Contract - Competitive Bid,,,USA,No,130785.3,Yes,Foreign,MUNCIE TRANSIT SUPPLY,Yes
7,,47302,14866.98,MUNCIE,3720 SOUTH MADISON STREET,02/13/2012,"J110890 80-11-0007 - SLACK ADJUSTER, (",,,IN,7367,Commodities/Supplies,,0,7367,14866.98,OPEN,01/24/2012,04/23/2014,,,No,113021.02,Authority Contract - Competitive Bid,,,USA,No,127888,Yes,Foreign,MUNCIE TRANSIT SUPPLY,Yes
6,,47302,33959.2,MUNCIE,3720 SOUTH MADISON STREET,05/26/2010,"C2J100541 88-11-1182 MOTOR, 4 WIRE BLOW",,,IN,7368,Commodities/Supplies,,0,7368,84898,OPEN,05/26/2010,08/25/2012,,,No,38590,Authority Contract - Competitive Bid,,,USA,No,123488,Yes,Foreign,MUNCIE TRANSIT SUPPLY,Yes
8,,47302,52792.68,MUNCIE,3720 SOUTH MADISON STREET,08/09/2010,C2PRB100689 85-75-0007: Slack Adjstr Rear,,,IN,7369,Commodities/Supplies,,,7369,95438.79,OPEN,08/09/2010,12/31/2012,,,No,26625.21,Authority Contract - Competitive Bid,,,USA,No,122064,Yes,Foreign,MUNCIE TRANSIT SUPPLY,No
,,47302,23641.2,MUNCIE,3720 SOUTH MADISON STREET,12/29/2009,"C2J090361 85-19-8512 - SLACK ADJUSTER, A",,,IN,7370,Commodities/Supplies,,0,7370,113987.2,OPEN,12/29/2009,03/28/2012,,,No,6208.8,Authority Contract - Competitive Bid,,,USA,No,120196,Yes,Foreign,MUNCIE TRANSIT SUPPLY,Yes
2,,47302,29998.8,MUNCIE,3720 SOUTH MADISON STREET,04/16/2012,NOZZLE POSI-LOCK HIGH PRESSURE DIESEL FUEL,,0600000000000000000002672,IN,7371,Commodities/Supplies,,1,7371,29998.8,OPEN,04/16/2012,07/15/2014,,,No,89996.4,Authority Contract - Competitive Bid,,,USA,No,119995.2,Yes,Foreign,MUNCIE TRANSIT SUPPLY,Yes
6,,47302,70954.96,MUNCIE,3720 SOUTH MADISON STREET,09/21/2011,SLACK ADJ. LH/RH AUTO (HALDEX),,0600000000000000000001205,IN,7372,Commodities/Supplies,,0,7372,70954.96,OPEN,09/21/2011,12/20/2013,,,No,46780.04,Authority Contract - Competitive Bid,,,USA,No,117735,Yes,Foreign,MUNCIE TRANSIT SUPPLY,Yes
3,,47302,46524,MUNCIE,3720 SOUTH MADISON STREET,08/30/2010,C600933077 NOZZLE POSI-LOCK HIGH PRESSURE DIESEL,,,IN,7373,Commodities/Supplies,,0,7373,109331.4,OPEN,04/13/2010,07/13/2012,,,No,6978.6,Authority Contract - Competitive Bid,,,USA,No,116310,Yes,Foreign,MUNCIE TRANSIT SUPPLY,Yes
14,,47302,18990,MUNCIE,3720 SOUTH MADISON STREET,07/26/2010,C600932927 LINK STABILIZER BAR LEFT HAND,,,IN,7374,Commodities/Supplies,,0,7374,63616.5,OPEN,04/12/2010,07/12/2012,,,No,50323.5,Authority Contract - Competitive Bid,,,USA,No,113940,Yes,Foreign,MUNCIE TRANSIT SUPPLY,Yes
,,47302,18148.8,MUNCIE,3720 SOUTH MADISON STREET,12/29/2009,"C2J090359 85-19-8513 - SLACK ADJUSTER, A",,,IN,7375,Commodities/Supplies,,0,7375,113270.8,OPEN,12/29/2009,03/28/2012,,,No,557.2,Authority Contract - Competitive Bid,,,USA,No,113828,Yes,Foreign,MUNCIE TRANSIT SUPPLY,Yes
3,,47302,0,MUNCIE,3720 SOUTH MADISON STREET,02/06/2012,"J110940 81-87-0044   THROTTLE ASSEMBLY,",,,IN,7376,Commodities/Supplies,,0,7376,0,OPEN,02/06/2012,05/05/2014,,,No,113192,Authority Contract - Competitive Bid,,,USA,No,113192,Yes,Foreign,MUNCIE TRANSIT SUPPLY,Yes
3,,47302,40350.15,MUNCIE,3720 SOUTH MADISON STREET,02/13/2012,SENSOR EXHAUST BACK PRESSURE,,0600000000000000000002091,IN,7377,Commodities/Supplies,,0,7377,40350.15,OPEN,02/13/2012,05/12/2014,,,No,71733.6,Authority Contract - Competitive Bid,,,USA,No,112083.75,Yes,Foreign,MUNCIE TRANSIT SUPPLY,Yes
5,,47302,38095,MUNCIE,3720 SOUTH MADISON STREET,02/17/2012,SLACK ADJUSTER AUTO LH,,0600000000000000000001849,IN,7378,Commodities/Supplies,,0,7378,38095,OPEN,01/10/2012,04/09/2014,,,No,72180,Authority Contract - Competitive Bid,,,USA,No,110275,Yes,Foreign,MUNCIE TRANSIT SUPPLY,Yes
5,,47302,41603.75,MUNCIE,3720 SOUTH MADISON STREET,02/17/2012,SLACK ADJUSTER AUTO RH,,0600000000000000000001850,IN,7379,Commodities/Supplies,,0,7379,41603.75,OPEN,01/10/2012,04/09/2014,,,No,68671.25,Authority Contract - Competitive Bid,,,USA,No,110275,Yes,Foreign,MUNCIE TRANSIT SUPPLY,Yes
5,,47302,39780.17,MUNCIE,3720 SOUTH MADISON STREET,03/29/2012,"J111096 85-19-8513 - SLACK ADJUSTER, A",,,IN,7380,Commodities/Supplies,,0,7380,39780.17,OPEN,03/12/2012,06/11/2014,,,No,65116.83,Authority Contract - Competitive Bid,,,USA,No,104897,Yes,Foreign,MUNCIE TRANSIT SUPPLY,Yes
5,,47302,32679.45,MUNCIE,3720 SOUTH MADISON STREET,03/29/2012,"J111081 85-19-8512 - SLACK ADJUSTER, A",,,IN,7381,Commodities/Supplies,,0,7381,32679.45,OPEN,03/12/2012,06/11/2014,,,No,72217.55,Authority Contract - Competitive Bid,,,USA,No,104897,Yes,Foreign,MUNCIE TRANSIT SUPPLY,Yes
6,,47302,27000,MUNCIE,3720 SOUTH MADISON STREET,05/07/2012,SLACK ADJUSTER AUTOMATIC 6.5 LEFT REAR STREETSIDE,,0600000000000000000002829,IN,7382,Commodities/Supplies,,1,7382,27000,OPEN,05/07/2012,08/06/2014,,,No,76500,Authority Contract - Competitive Bid,,,USA,No,103500,Yes,Foreign,MUNCIE TRANSIT SUPPLY,Yes
7,,47302,19167.5,MUNCIE,3720 SOUTH MADISON STREET,03/07/2012,AIR SPRING ASSEMBLY REAR,,0600000000000000000002277,IN,7383,Commodities/Supplies,,0,7383,19167.5,OPEN,03/07/2012,06/06/2014,,,No,83682.5,Authority Contract - Competitive Bid,,,USA,No,102850,Yes,Foreign,MUNCIE TRANSIT SUPPLY,Yes
,,47302,11979,MUNCIE,3720 SOUTH MADISON STREET,01/06/2010,"C2J090351 85-11-0006 SLACK ADJUSTER, LEF",,,IN,7384,Commodities/Supplies,,0,7384,96104.25,OPEN,01/06/2010,01/26/2012,,,No,6443.25,Authority Contract - Competitive Bid,,,USA,No,102547.5,Yes,Foreign,MUNCIE TRANSIT SUPPLY,Yes
,,47302,6764.25,MUNCIE,3720 SOUTH MADISON STREET,06/18/2009,"C2PRB090171A 80-75-0007 SLACK ADJUSTER, LH/",,,IN,7385,Commodities/Supplies,,,7385,87857.5,OPEN,06/18/2009,12/30/2011,,,No,11273.75,Authority Contract - Competitive Bid,,,USA,No,99131.25,Yes,Foreign,MUNCIE TRANSIT SUPPLY,No
3,,47302,32542.7,MUNCIE,3720 SOUTH MADISON STREET,07/11/2011,THROTTLE ASSEMBLY NATURAL GAS ACTUATOR,,0600000000000000000000818,IN,7386,Commodities/Supplies,,0,7386,74989.7,OPEN,07/11/2011,10/10/2013,,,No,24053.3,Authority Contract - Competitive Bid,,,USA,No,99043,Yes,Foreign,MUNCIE TRANSIT SUPPLY,Yes
6,,47302,24602.4,MUNCIE,3720 SOUTH MADISON STREET,05/26/2010,C600928190 COOLER ASSEMBLY TRANSMISSION,,,IN,7387,Commodities/Supplies,,0,7387,66973.2,OPEN,02/25/2010,05/25/2012,,,No,31436.4,Authority Contract - Competitive Bid,,,USA,No,98409.6,Yes,Foreign,MUNCIE TRANSIT SUPPLY,Yes
7,,47302,42168.4,MUNCIE,3720 SOUTH MADISON STREET,04/16/2012,SLACK ADJUSTER AUTOMATIC 6.5 RIGHT REAR CURBSIDE,,0600000000000000000002670,IN,7388,Commodities/Supplies,,0,7388,42168.4,OPEN,04/16/2012,07/15/2014,,,No,55962.85,Authority Contract - Competitive Bid,,,USA,No,98131.25,Yes,Foreign,MUNCIE TRANSIT SUPPLY,Yes
9,,47302,44186.5,MUNCIE,3720 SOUTH MADISON STREET,09/06/2011,CLAMP V-BAND 10-3/4 CONTINUOUSLY REGENERATING TECHNOLOGY EMISSION CONTROL DEVICE,,0600000000000000000001116,IN,7389,Commodities/Supplies,,1,7389,44186.5,OPEN,09/06/2011,12/06/2013,,,No,53419.5,Authority Contract - Competitive Bid,,,USA,No,97606,Yes,Foreign,MUNCIE TRANSIT SUPPLY,Yes
7,,47302,24237.5,MUNCIE,3720 SOUTH MADISON STREET,10/01/2010,C600947910 SPRING AIR RIDE SPRING,,,IN,7390,Commodities/Supplies,,0,7390,86285.5,OPEN,09/21/2010,12/21/2012,,,No,10664.5,Authority Contract - Competitive Bid,,,USA,No,96950,Yes,Foreign,MUNCIE TRANSIT SUPPLY,Yes
,,47302,17061,MUNCIE,3720 SOUTH MADISON STREET,01/16/2010,"C2J090342 85-11-0005 SLACK ADJUSTER, RIG",,,IN,7391,Commodities/Supplies,,0,7391,96195,OPEN,01/16/2010,01/26/2012,,,No,0,Authority Contract - Competitive Bid,,,USA,No,96195,Yes,Foreign,MUNCIE TRANSIT SUPPLY,Yes
6,,47302,11606.25,MUNCIE,3720 SOUTH MADISON STREET,08/24/2012,BLOWER ASSEMBLY BRUSHLESS DEFROSTER,,0600000000000000000003465,IN,7392,Commodities/Supplies,,1,7392,11606.25,OPEN,08/24/2012,11/23/2014,,,No,81243.75,Authority Contract - Competitive Bid,,,USA,No,92850,Yes,Foreign,MUNCIE TRANSIT SUPPLY,Yes
4,,47302,40125,MUNCIE,3720 SOUTH MADISON STREET,03/28/2012,SPRING AIR RIDE,,0600000000000000000002500,IN,7393,Commodities/Supplies,,0,7393,40125,OPEN,03/28/2012,06/27/2013,,,No,52162.5,Authority Contract - Competitive Bid,,,USA,No,92287.5,Yes,Foreign,MUNCIE TRANSIT SUPPLY,Yes
2,,47302,22535.1,MUNCIE,3720 SOUTH MADISON STREET,07/02/2012,PRB121156 81-75-0036   - Clamp Catalytic Filter,,,IN,7394,Commodities/Supplies,,0,7394,22535.1,OPEN,05/14/2012,08/13/2014,,,No,69444.9,Authority Contract - Competitive Bid,,,USA,No,91980,Yes,Foreign,MUNCIE TRANSIT SUPPLY,Yes
3,,47302,43089.6,MUNCIE,3720 SOUTH MADISON STREET,07/29/2010,C600941336 FILLER NECK ASSEMBLY FUEL TANK,,,IN,7395,Commodities/Supplies,,0,7395,83486.1,OPEN,07/12/2010,10/12/2012,,,No,6283.9,Authority Contract - Competitive Bid,,,USA,No,89770,Yes,Foreign,MUNCIE TRANSIT SUPPLY,Yes
8,,47302,30118.75,MUNCIE,3720 SOUTH MADISON STREET,07/15/2010,C2J100619 80-19-8004 - ADJUSTER ASSEMBLY,,,IN,7396,Commodities/Supplies,,0,7396,61838.75,OPEN,07/15/2010,10/14/2012,,,No,25848.75,Authority Contract - Competitive Bid,,,USA,No,87687.5,Yes,Foreign,MUNCIE TRANSIT SUPPLY,Yes
5,,47302,36279,MUNCIE,3720 SOUTH MADISON STREET,03/05/2012,"J110933 79-19-0159 - PUMP, CIRCULATING",,,IN,7397,Commodities/Supplies,,0,7397,36279,OPEN,12/05/2011,03/04/2014,,,No,51291,Authority Contract - Competitive Bid,,,USA,No,87570,Yes,Foreign,MUNCIE TRANSIT SUPPLY,Yes
14,,47302,9400.44,MUNCIE,3720 SOUTH MADISON STREET,05/17/2010,C600927203 RADIUS ROD ASSEMBLY REAR CURBSIDE,,,IN,7398,Commodities/Supplies,,0,7398,64071.42,OPEN,02/16/2010,05/16/2012,,,No,22511.58,Authority Contract - Competitive Bid,,,USA,No,86583,Yes,Foreign,MUNCIE TRANSIT SUPPLY,Yes
5,,47302,28353.5,MUNCIE,3720 SOUTH MADISON STREET,10/03/2011,"J110900 97-78-0908 Filter, Catalyzed Soot",,,IN,7399,Commodities/Supplies,,0,7399,28353.5,OPEN,08/16/2011,11/15/2012,,,No,56707,Authority Contract - Competitive Bid,,,USA,No,85060.5,Yes,Foreign,MUNCIE TRANSIT SUPPLY,Yes
2,,47302,2784.54,MUNCIE,3720 SOUTH MADISON STREET,10/16/2012,"PRB121356D 90-75-0031 seal, gasket, engine oil pan, caterpillar engine",,,IN,7400,Commodities/Supplies,,0,7400,2784.54,OPEN,09/11/2012,12/11/2014,,,No,81595.46,Authority Contract - Competitive Bid,,,USA,No,84380,Yes,Foreign,MUNCIE TRANSIT SUPPLY,Yes
6,,47302,48090.93,MUNCIE,3720 SOUTH MADISON STREET,01/10/2012,PUMP FAN DRIVE,,0600000000000000000001799,IN,7401,Commodities/Supplies,,0,7401,48090.93,OPEN,12/29/2011,03/29/2014,,,No,35545.47,Authority Contract - Competitive Bid,,,USA,No,83636.4,Yes,Foreign,MUNCIE TRANSIT SUPPLY,Yes
2,,47302,0,MUNCIE,3720 SOUTH MADISON STREET,04/09/2012,FILTER MODULE EXHAUST MCI,,0600000000000000000002600,IN,7402,Commodities/Supplies,,1,7402,0,OPEN,04/09/2012,07/08/2013,,,No,83398.68,Authority Contract - Competitive Bid,,,USA,No,83398.68,Yes,Foreign,MUNCIE TRANSIT SUPPLY,Yes
6,,47302,0,MUNCIE,3720 SOUTH MADISON STREET,06/01/2010,C600928631 AIR SPRING ASSEMBLY,,,IN,7403,Commodities/Supplies,,0,7403,80975,OPEN,03/02/2010,06/01/2012,,,No,1025,Authority Contract - Competitive Bid,,,USA,No,82000,Yes,Foreign,MUNCIE TRANSIT SUPPLY,Yes
6,,47302,36187.65,MUNCIE,3720 SOUTH MADISON STREET,06/08/2011,MODULE BUMPER FRONT LEFT AND RIGHT,,0600000000000000000000609,IN,7404,Commodities/Supplies,,0,7404,59290.5,OPEN,06/08/2011,09/06/2013,,,No,22489.5,Authority Contract - Competitive Bid,,,USA,No,81780,Yes,Foreign,MUNCIE TRANSIT SUPPLY,Yes
2,,47302,0,MUNCIE,3720 SOUTH MADISON STREET,09/11/2012,FILLER NECK ASSEMBLY,,0600000000000000000003579,IN,7405,Commodities/Supplies,,0,7405,0,OPEN,09/11/2012,12/10/2014,,,No,81348.8,Authority Contract - Competitive Bid,,,USA,No,81348.8,Yes,Foreign,MUNCIE TRANSIT SUPPLY,Yes
8,,47302,28060,MUNCIE,3720 SOUTH MADISON STREET,07/15/2010,C2J100613 80-19-8003 - ADJUSTER ASSEMBLY,,,IN,7406,Commodities/Supplies,,0,7406,62296.25,OPEN,07/15/2010,10/14/2012,,,No,17766.25,Authority Contract - Competitive Bid,,,USA,No,80062.5,Yes,Foreign,MUNCIE TRANSIT SUPPLY,Yes
7,,47302,40764.3,MUNCIE,3720 SOUTH MADISON STREET,01/05/2012,"J100818 80-75-0007: SLACK ADJUSTER, FRONT AXLE, CURB & STREET SIDE",,,IN,7407,Commodities/Supplies,,0,7407,40764.3,OPEN,01/05/2012,04/04/2014,,,No,39165.7,Authority Contract - Competitive Bid,,,USA,No,79930,Yes,Foreign,MUNCIE TRANSIT SUPPLY,Yes
5,,47302,25534.8,MUNCIE,3720 SOUTH MADISON STREET,11/02/2011,PRB110849 96-87-5505   TURBOCHARGER GP,,,IN,7408,Commodities/Supplies,,0,7408,25534.8,OPEN,08/02/2011,11/01/2013,,,No,53906.8,Authority Contract - Competitive Bid,,,USA,No,79441.6,Yes,Foreign,MUNCIE TRANSIT SUPPLY,Yes
7,,47302,0,MUNCIE,3720 SOUTH MADISON STREET,04/26/2012,PUMP HEATER CIRCULATING,,0600000000000000000001945,IN,7409,Commodities/Supplies,,0,7409,0,OPEN,01/26/2012,04/25/2014,,,No,78869,Authority Contract - Competitive Bid,,,USA,No,78869,Yes,Foreign,MUNCIE TRANSIT SUPPLY,Yes
7,,47302,9428.28,MUNCIE,3720 SOUTH MADISON STREET,02/10/2012,PUMP CIRCULATING BRUSHLESS/SEALESS,,0600000000000000000001944,IN,7410,Commodities/Supplies,,0,7410,9428.28,OPEN,01/26/2012,04/25/2014,,,No,69140.72,Authority Contract - Competitive Bid,,,USA,No,78569,Yes,Foreign,MUNCIE TRANSIT SUPPLY,Yes
14,,47302,15546,MUNCIE,3720 SOUTH MADISON STREET,05/17/2010,C600927197 RADIUS ROD ASSEMBLY REAR STREET SIDE,,,IN,7411,Commodities/Supplies,,0,7411,60007.56,OPEN,02/16/2010,05/16/2012,,,No,17722.44,Authority Contract - Competitive Bid,,,USA,No,77730,Yes,Foreign,MUNCIE TRANSIT SUPPLY,Yes
8,,47302,9307.15,MUNCIE,3720 SOUTH MADISON STREET,01/27/2012,"PRB111128 85-11-0006 SLACK ADJUSTER, LEF",,,IN,7412,Commodities/Supplies,,0,7412,9307.15,OPEN,01/27/2012,04/26/2014,,,No,67452.85,Authority Contract - Competitive Bid,,,USA,No,76760,Yes,Foreign,MUNCIE TRANSIT SUPPLY,Yes
9,,47302,11130.2,MUNCIE,3720 SOUTH MADISON STREET,01/27/2012,"PRB111114 85-11-0005 SLACK ADJUSTER, RIGHT HAND, REAR (10 SPLINE)",,,IN,7413,Commodities/Supplies,,0,7413,11130.2,OPEN,01/27/2012,04/26/2014,,,No,65629.8,Authority Contract - Competitive Bid,,,USA,No,76760,Yes,Foreign,MUNCIE TRANSIT SUPPLY,Yes
,,47302,9702,MUNCIE,3720 SOUTH MADISON STREET,08/21/2009,C2PRB090293 85-87-8000 BRAKE SHOE ASSEMBLY,,,IN,7414,Commodities/Supplies,,,7414,75017.25,OPEN,08/21/2009,11/18/2011,,,No,1559.25,Authority Contract - Competitive Bid,,,USA,No,76576.5,Yes,Foreign,MUNCIE TRANSIT SUPPLY,No
24,,47302,5445,MUNCIE,3720 SOUTH MADISON STREET,01/07/2010,C600913622 SLACK ADJUSTER LEFT HAND (10 SPLINE),,,IN,7415,Commodities/Supplies,,0,7415,23141.25,OPEN,10/09/2009,01/09/2012,,,No,53088.75,Authority Contract - Competitive Bid,,,USA,No,76230,Yes,Foreign,MUNCIE TRANSIT SUPPLY,Yes
6,,47302,19935.56,MUNCIE,3720 SOUTH MADISON STREET,07/06/2010,C600940726 MOTOR FAN DRIVE,,,IN,7416,Commodities/Supplies,,0,7416,70360.8,OPEN,07/02/2010,10/02/2012,,,No,5863.4,Authority Contract - Competitive Bid,,,USA,No,76224.2,Yes,Foreign,MUNCIE TRANSIT SUPPLY,Yes
12,,47302,6799.1,MUNCIE,3720 SOUTH MADISON STREET,03/22/2010,C600927787 VALVE PRESSURE REDUCING RV-3 33 PSI,,,IN,7417,Commodities/Supplies,,0,7417,45739.4,OPEN,02/22/2010,05/22/2012,,,No,28432.6,Authority Contract - Competitive Bid,,,USA,No,74172,Yes,Foreign,MUNCIE TRANSIT SUPPLY,Yes
6,,47302,15779.12,MUNCIE,3720 SOUTH MADISON STREET,04/22/2011,INTERLOCK VALVE 24V,,0600000000000000000000402,IN,7418,Commodities/Supplies,,0,7418,48746.21,OPEN,04/22/2011,07/21/2012,,,No,24513.99,Authority Contract - Competitive Bid,,,USA,No,73260.2,Yes,Foreign,MUNCIE TRANSIT SUPPLY,Yes
2,,47302,18604.8,MUNCIE,3720 SOUTH MADISON STREET,04/03/2012,NOZZLE REFUELING FRONT END REPAIR KIT EMCO/WHEATON COMMODITY 56-72-1800,,0600000000000000000002556,IN,7419,Commodities/Supplies,,18,7419,18604.8,OPEN,04/03/2012,07/03/2013,,,No,51163.2,Authority Contract - Competitive Bid,,,USA,No,69768,Yes,Foreign,MUNCIE TRANSIT SUPPLY,Yes
12,,47302,17316,MUNCIE,3720 SOUTH MADISON STREET,05/18/2010,C600927431 SHAFT 13T LH L-38 HYDRAULIC PUMP,,,IN,7420,Commodities/Supplies,,0,7420,49350.6,OPEN,02/17/2010,05/17/2012,,,No,19913.4,Authority Contract - Competitive Bid,,,USA,No,69264,Yes,Foreign,MUNCIE TRANSIT SUPPLY,Yes
3,,47302,0,MUNCIE,3720 SOUTH MADISON STREET,01/01/2013,PRB121350B 88-75-0059 Belt Alternator,,,IN,7421,Commodities/Supplies,,0,7421,0,OPEN,11/05/2012,02/04/2015,,,No,67665,Authority Contract - Competitive Bid,,,USA,No,67665,Yes,Foreign,MUNCIE TRANSIT SUPPLY,Yes
2,,47302,27062,MUNCIE,3720 SOUTH MADISON STREET,10/12/2011,FILLER NECK ASSEMBLY,,0600000000000000000001385,IN,7422,Commodities/Supplies,,0,7422,27062,OPEN,10/12/2011,01/11/2013,,,No,40593,Authority Contract - Competitive Bid,,,USA,No,67655,Yes,Foreign,MUNCIE TRANSIT SUPPLY,Yes
2,,47302,4506.88,MUNCIE,3720 SOUTH MADISON STREET,10/16/2012,"PRB121356A 78-75-0014 MODULE, CATALYST, C",,,IN,7423,Commodities/Supplies,,0,7423,4506.88,OPEN,09/10/2012,12/11/2014,,,No,63096.32,Authority Contract - Competitive Bid,,,USA,No,67603.2,Yes,Foreign,MUNCIE TRANSIT SUPPLY,Yes
2,,47302,3358.5,MUNCIE,3720 SOUTH MADISON STREET,07/30/2012,ELEMENT AIR CLEANER EACH FILTER SHALL BE INDIVIDUALLY PACKAGED IN A CARDBOARD BOX,,0600000000000000000003296,IN,7424,Commodities/Supplies,,0,7424,3358.5,OPEN,07/30/2012,10/29/2014,,,No,63811.5,Authority Contract - Competitive Bid,,,USA,No,67170,Yes,Foreign,MUNCIE TRANSIT SUPPLY,No
15,,47302,7044.9,MUNCIE,3720 SOUTH MADISON STREET,02/01/2010,C600915822 CROSS TUBE ASSY,,,IN,7425,Commodities/Supplies,,0,7425,56359.2,OPEN,10/28/2009,01/27/2012,,,No,9393.2,Authority Contract - Competitive Bid,,,USA,No,65752.4,Yes,Foreign,MUNCIE TRANSIT SUPPLY,Yes
